koi_period,koi_prad,koi_depth,koi_duration,koi_impact,koi_insol,koi_teq,koi_steff,koi_srad,koi_model_snr,label
-0.45664490648513767,-0.03626254340717352,-0.32118810057171543,0.009978411853795359,-0.04029867235006154,0.03452290733338786,1.6641473848273365,0.48952720313098974,0.6113189828891978,-0.3325375421411788,0
-0.45242597112215766,-0.036212867558305745,-0.30740108851197573,-0.19864772856884388,-0.002831684591153926,-0.06511428344468587,0.10061518480131218,0.6308004217437897,-0.11013846426017745,-0.16709743591001258,1
1.775220327595749,-0.03680566602146112,-0.312967589223576,-0.423016899195687,-0.13933931441042974,-0.07028493595032317,-1.0029196474987871,-0.05806279467791626,-0.1456094533191345,-0.35135051080288965,0
-0.45695701795385596,-0.037070603882089215,-0.31716598746768565,-0.5091077218478101,-0.15008565973662805,-0.06835792565349263,-0.20452022620890242,-0.6469095731436577,-0.15540008830825838,-0.2819135537423933,0
-0.4699008819906964,0.004855812562307236,0.921274974230501,0.16838490572936293,0.05845152794473371,0.05608080336248501,1.8052438342794284,2.909925001665332,0.09819340813134406,0.6245294817764016,0
-0.36514610591722796,-0.02178368932384798,2.411262934279397,0.2875531364296296,-0.17709674393491026,-0.06938623158960969,-0.39264882547835805,0.7745740513054888,-0.1290777253866794,8.530194985394852,0
-0.47778519557124666,-0.02718842168066117,-0.30663862824353233,1.0461363151560745,0.1583634953018207,-0.0579055335775864,0.4401643639705735,-0.15182820526163304,-0.14737497766143554,-0.21042427282789208,0
-0.48154237180131443,-0.011199421791755482,-0.31373221249987315,-0.6730614645551738,0.15662084470838314,0.05817654590343169,1.8178622159377453,-0.4618791629251232,0.07138953857095572,-0.19708416777686077,0
1.175725189887066,-0.036696379153952026,-0.31620939724436903,-0.30596684982309225,-0.05540164415985377,-0.06852845930946767,-0.23090411513083828,0.07008326645316335,-0.11800307269406385,-0.3227890038346559,0
0.14917526133005898,-0.036563910223637974,-0.31428161649472314,0.07567767176110309,-0.08851200543516746,-0.07017625076817008,-0.7528462655430475,0.2844935053212624,-0.09312522968891297,-0.3187413651225908,1
0.9749538604017637,-0.03700105769367434,-0.3179133066811528,1.3675048647970087,-0.14877867179154985,-0.07026922363577619,-0.9249151063382812,0.29199473816795973,-0.12811471210906064,-0.3485000610056607,0
-0.13632620666218634,-0.035497535334609885,-0.31615369979213526,0.31275283133228393,-0.03129497761730079,-0.06846440911004044,-0.21943285907782267,1.425931103493708,0.1439365388182344,-0.3230740488143788,1
-0.4801807676689877,-0.025128529814277715,-0.31952474753218923,-0.2690884916675752,0.07123096562994252,0.6582280370413224,3.5110196093628456,-1.058227174237562,1.200362104365996,-0.3176011852036993,0
-0.48356925986191274,-0.03331842143094378,-0.32004062490530627,-0.13397114582047076,0.097370724531506,0.005608145351015738,1.4312808869511202,0.5207823399922287,-0.11366951294477952,-0.32797682246561255,0
-0.31753033792913465,-0.03712359145421483,-0.318619528745399,-0.013109299764574554,-0.06382445536146863,-0.07004955146742806,-0.6438693330393994,-0.4068701220493427,-0.149301004216673,-0.3466757731354342,0
-0.4736645439682312,-0.037299112786880945,-0.320783618103066,-0.33246348530457714,-0.19684678399386935,-0.058408127486217036,0.4218103542857486,0.23323508086883055,-0.1276332054702513,-0.3469038091192125,0
